Element,Symbol,NumberofNeutrons,NumberofProtons,NumberofElectrons
Hydrogen,H,0,1,1
Helium,He,2,2,2
Lithium,Li,4,3,3
Beryllium,Be,5,4,4
Boron,B,6,5,5
Carbon,C,6,6,6
Nitrogen,N,7,7,7
Oxygen,O,8,8,8
Fluorine,F,10,9,9
Neon,Ne,10,10,10
Sodium,Na,12,11,11
Magnesium,Mg,12,12,12
Aluminum,Al,14,13,13
Silicon,Si,14,14,14
Phosphorus,P,16,15,15
Sulfur,S,16,16,16
Chlorine,Cl,18,17,17
Argon,Ar,22,18,18
Potassium,K,20,19,19
Calcium,Ca,20,20,20
Scandium,Sc,24,21,21
Titanium,Ti,26,22,22
Vanadium,V,28,23,23
Chromium,Cr,28,24,24
Manganese,Mn,30,25,25
Iron,Fe,30,26,26
Cobalt,Co,32,27,27
Nickel,Ni,31,28,28
Copper,Cu,35,29,29
Zinc,Zn,35,30,30
Gallium,Ga,39,31,31
Germanium,Ge,41,32,32
Arsenic,As,42,33,33
Selenium,Se,45,34,34
Bromine,Br,45,35,35
Krypton,Kr,48,36,36
Rubidium,Rb,48,37,37
Strontium,Sr,50,38,38
Yttrium,Y,50,39,39
Zirconium,Zr,51,40,40
Niobium,Nb,52,41,41
Molybdenum,Mo,54,42,42
Technetium,Tc,55,43,43
Ruthenium,Ru,57,44,44
Rhodium,Rh,58,45,45
Palladium,Pd,60,46,46
Silver,Ag,61,47,47
Cadmium,Cd,64,48,48
Indium,In,66,49,49
Tin,Sn,69,50,50
Antimony,Sb,71,51,51
Tellurium,Te,76,52,52
Iodine,I,74,53,53
Xenon,Xe,77,54,54
Cesium,Cs,78,55,55
Barium,Ba,81,56,56
Lanthanum,La,82,57,57
Cerium,Ce,82,58,58
Praseodymium,Pr,82,59,59
Neodymium,Nd,84,60,60
Promethium,Pm,84,61,61
Samarium,Sm,88,62,62
Europium,Eu,89,63,63
Gadolinium,Gd,93,64,64
Terbium,Tb,94,65,65
Dysprosium,Dy,97,66,66
Holmium,Ho,98,67,67
Erbium,Er,99,68,68
Thulium,Tm,100,69,69
Ytterbium,Yb,103,70,70
Lutetium,Lu,104,71,71
Hafnium,Hf,106,72,72
Tantalum,Ta,108,73,73
Wolfram,W,110,74,74
Rhenium,Re,111,75,75
Osmium,Os,114,76,76
Iridium,Ir,115,77,77
Platinum,Pt,117,78,78
Gold,Au,118,79,79
Mercury,Hg,121,80,80
Thallium,Tl,123,81,81
Lead,Pb,125,82,82
Bismuth,Bi,126,83,83
Polonium,Po,126,84,84
Astatine,At,125,85,85
Radon,Rn,136,86,86
Francium,Fr,136,87,87
Radium,Ra,138,88,88
Actinium,Ac,138,89,89
Thorium,Th,142,90,90
Protactinium,Pa,140,91,91
Uranium,U,146,92,92
Neptunium,Np,144,93,93
Plutonium,Pu,150,94,94
Americium,Am,148,95,95
Curium,Cm,151,96,96
Berkelium,Bk,150,97,97
Californium,Cf,153,98,98
Einsteinium,Es,153,99,99
Fermium,Fm,157,100,100
Mendelevium,Md,157,101,101
Nobelium,No,157,102,102
Lawrencium,Lr,159,103,103
Rutherfordium,Rf,157,104,104
Dubnium,Db,157,105,105
Seaborgium,Sg,160,106,106
Bohrium,Bh,157,107,107
Hassium,Hs,159,108,108
Meitnerium,Mt,159,109,109
Darmstadtium,Ds,161,110,110
Roentgenium,Rg,161,111,111
Copernicium,Cn,173,112,112
Nihonium,Nh,171,113,113
Flerovium,Fl,175,114,114
Moscovium,Mc,173,115,115
Livermorium,Lv,176,116,116
Tennessine,Ts,178,117,117
Oganesson,Og,176,118,118
